state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,gop_leads
Alaska,2002,State House District 2,4533,4569,9102,-36,0.498022413,0.501977587,-0.003955175,0
Alaska,2003,State House District 3,4495,6130,10625,-1635,0.4230588235294117,0.5769411764705883,-0.153882353,0
Alaska,2004,State House District 4,2690,6160,8850,-3470,0.303954802,0.696045198,-0.392090395,0
Alaska,2005,State House District 5,4351,3325,7676,1026,0.5668316831683168,0.4331683168316831,0.1336633663366336,1
Alaska,2006,State House District 6,6700,4772,11472,1928,0.5840306834030683,0.4159693165969316,0.1680613668061366,1
Alaska,2007,State House District 7,6775,2513,9288,4262,0.7294358311800172,0.2705641688199828,0.4588716623600344,1
Alaska,2008,State House District 8,7949,2575,10524,5374,0.7553211706575447,0.2446788293424553,0.5106423413150893,1
Alaska,2009,State House District 9,5575,5846,11421,-271,0.4881358900271429,0.51186411,-0.02372822,0
Alaska,2010,State House District 10,4354,4068,8422,286,0.5169793398242698,0.4830206601757302,0.03395868,1
Alaska,2011,State House District 11,4843,4621,9464,222,0.5117286559594252,0.4882713440405748,0.023457312,1
Alaska,2012,State House District 12,4057,4167,8224,-110,0.4933122568093385,0.5066877431906615,-0.013375486,0
Alaska,2013,State House District 13,3583,3679,7262,-96,0.493390251,0.506609749,-0.013219499,0
Alaska,2014,State House District 14,2763,4329,7092,-1566,0.3895939086294416,0.6104060913705583,-0.220812183,0
Alaska,2015,State House District 15,4592,4359,8951,233,0.5130153055524522,0.4869846944475478,0.026030611,1
Alaska,2016,State House District 16,3928,5341,9269,-1413,0.4237781853490128,0.5762218146509872,-0.152443629,0
Alaska,2017,State House District 17,2406,4989,7395,-2583,0.3253549695740365,0.6746450304259635,-0.349290061,0
Alaska,2018,State House District 18,2686,1927,4613,759,0.5822675048775201,0.4177324951224799,0.1645350097550401,1
Alaska,2019,State House District 19,1968,2820,4788,-852,0.4110275689223057,0.5889724310776943,-0.177944862,0
